month_year|cold_water|hot_water|drainage_system|electricity|
01.2019   |38.70     |191.72   |27.47          |4.37       |
02.2019   |38.70     |191.72   |27.47          |4.37       |
03.2019   |38.70     |191.72   |27.47          |4.37       |
04.2019   |38.70     |191.72   |27.47          |4.37       |
05.2019   |38.70     |191.72   |27.47          |4.37       |
06.2019   |38.70     |191.72   |27.47          |4.37       |
07.2019	  |40.48     |198.19   |29.57          |4.65       |
08.2019	  |40.48     |198.19   |29.57          |4.65       |
09.2019	  |40.48     |198.19   |29.57          |4.65       |
10.2019	  |40.48     |198.19   |29.57          |4.65       |
11.2019	  |40.48     |198.19   |29.57          |4.65       |
12.2019	  |40.48     |198.19   |29.57          |4.65       |
